char,unicode,ks_x_1001
꾀,U+AF80,18-50
꾄,U+AF84,18-51
꾈,U+AF88,18-52
꾐,U+AF90,18-53
꾑,U+AF91,18-54
꾕,U+AF95,18-55
꾜,U+AF9C,18-56
꾸,U+AFB8,18-57
꾹,U+AFB9,18-58
꾼,U+AFBC,18-59
꿀,U+AFC0,18-60
꿇,U+AFC7,18-61
꿈,U+AFC8,18-62
꿉,U+AFC9,18-63
꿋,U+AFCB,18-64
꿍,U+AFCD,18-65
꿎,U+AFCE,18-66
꿔,U+AFD4,18-67
꿜,U+AFDC,18-68
꿨,U+AFE8,18-69
꿩,U+AFE9,18-70
꿰,U+AFF0,18-71
꿱,U+AFF1,18-72
꿴,U+AFF4,18-73
꿸,U+AFF8,18-74
뀀,U+B000,18-75
뀁,U+B001,18-76
뀄,U+B004,18-77
뀌,U+B00C,18-78
뀐,U+B010,18-79
뀔,U+B014,18-80
뀜,U+B01C,18-81
뀝,U+B01D,18-82
뀨,U+B028,18-83
끄,U+B044,18-84
끅,U+B045,18-85
끈,U+B048,18-86
끊,U+B04A,18-87
끌,U+B04C,18-88
끎,U+B04E,18-89
끓,U+B053,18-90
끔,U+B054,18-91
끕,U+B055,18-92
끗,U+B057,18-93
끙,U+B059,18-94
끝,U+B05D,19-01
끼,U+B07C,19-02
끽,U+B07D,19-03
낀,U+B080,19-04
낄,U+B084,19-05
낌,U+B08C,19-06
낍,U+B08D,19-07
낏,U+B08F,19-08
낑,U+B091,19-09
나,U+B098,19-10
낙,U+B099,19-11
낚,U+B09A,19-12
난,U+B09C,19-13
낟,U+B09F,19-14
날,U+B0A0,19-15
낡,U+B0A1,19-16
낢,U+B0A2,19-17
남,U+B0A8,19-18
납,U+B0A9,19-19
낫,U+B0AB,19-20
났,U+B0AC,19-21
낭,U+B0AD,19-22
낮,U+B0AE,19-23
낯,U+B0AF,19-24
낱,U+B0B1,19-25
낳,U+B0B3,19-26
내,U+B0B4,19-27
낵,U+B0B5,19-28
낸,U+B0B8,19-29
낼,U+B0BC,19-30
냄,U+B0C4,19-31
냅,U+B0C5,19-32
냇,U+B0C7,19-33
냈,U+B0C8,19-34
냉,U+B0C9,19-35
냐,U+B0D0,19-36
냑,U+B0D1,19-37
냔,U+B0D4,19-38
냘,U+B0D8,19-39
냠,U+B0E0,19-40
냥,U+B0E5,19-41
너,U+B108,19-42
넉,U+B109,19-43
넋,U+B10B,19-44
넌,U+B10C,19-45
널,U+B110,19-46
넒,U+B112,19-47
넓,U+B113,19-48
넘,U+B118,19-49
넙,U+B119,19-50
넛,U+B11B,19-51
넜,U+B11C,19-52
넝,U+B11D,19-53
