char,unicode,ks_x_1001
뺑,U+BE91,27-17
뺘,U+BE98,27-18
뺙,U+BE99,27-19
뺨,U+BEA8,27-20
뻐,U+BED0,27-21
뻑,U+BED1,27-22
뻔,U+BED4,27-23
뻗,U+BED7,27-24
뻘,U+BED8,27-25
뻠,U+BEE0,27-26
뻣,U+BEE3,27-27
뻤,U+BEE4,27-28
뻥,U+BEE5,27-29
뻬,U+BEEC,27-30
뼁,U+BF01,27-31
뼈,U+BF08,27-32
뼉,U+BF09,27-33
뼘,U+BF18,27-34
뼙,U+BF19,27-35
뼛,U+BF1B,27-36
뼜,U+BF1C,27-37
뼝,U+BF1D,27-38
뽀,U+BF40,27-39
뽁,U+BF41,27-40
뽄,U+BF44,27-41
뽈,U+BF48,27-42
뽐,U+BF50,27-43
뽑,U+BF51,27-44
뽕,U+BF55,27-45
뾔,U+BF94,27-46
뾰,U+BFB0,27-47
뿅,U+BFC5,27-48
뿌,U+BFCC,27-49
뿍,U+BFCD,27-50
뿐,U+BFD0,27-51
뿔,U+BFD4,27-52
뿜,U+BFDC,27-53
뿟,U+BFDF,27-54
뿡,U+BFE1,27-55
쀼,U+C03C,27-56
쁑,U+C051,27-57
쁘,U+C058,27-58
쁜,U+C05C,27-59
쁠,U+C060,27-60
쁨,U+C068,27-61
쁩,U+C069,27-62
삐,U+C090,27-63
삑,U+C091,27-64
삔,U+C094,27-65
삘,U+C098,27-66
삠,U+C0A0,27-67
삡,U+C0A1,27-68
삣,U+C0A3,27-69
삥,U+C0A5,27-70
사,U+C0AC,27-71
삭,U+C0AD,27-72
삯,U+C0AF,27-73
산,U+C0B0,27-74
삳,U+C0B3,27-75
살,U+C0B4,27-76
삵,U+C0B5,27-77
삶,U+C0B6,27-78
삼,U+C0BC,27-79
삽,U+C0BD,27-80
삿,U+C0BF,27-81
샀,U+C0C0,27-82
상,U+C0C1,27-83
샅,U+C0C5,27-84
새,U+C0C8,27-85
색,U+C0C9,27-86
샌,U+C0CC,27-87
샐,U+C0D0,27-88
샘,U+C0D8,27-89
샙,U+C0D9,27-90
샛,U+C0DB,27-91
샜,U+C0DC,27-92
생,U+C0DD,27-93
샤,U+C0E4,27-94
샥,U+C0E5,28-01
샨,U+C0E8,28-02
샬,U+C0EC,28-03
샴,U+C0F4,28-04
샵,U+C0F5,28-05
샷,U+C0F7,28-06
샹,U+C0F9,28-07
섀,U+C100,28-08
섄,U+C104,28-09
섈,U+C108,28-10
섐,U+C110,28-11
섕,U+C115,28-12
서,U+C11C,28-13
석,U+C11D,28-14
섞,U+C11E,28-15
섟,U+C11F,28-16
선,U+C120,28-17
섣,U+C123,28-18
설,U+C124,28-19
섦,U+C126,28-20
섧,U+C127,28-21
섬,U+C12C,28-22
섭,U+C12D,28-23
섯,U+C12F,28-24
섰,U+C130,28-25
성,U+C131,28-26
섶,U+C136,28-27
세,U+C138,28-28
섹,U+C139,28-29
센,U+C13C,28-30
셀,U+C140,28-31
셈,U+C148,28-32
셉,U+C149,28-33
셋,U+C14B,28-34
셌,U+C14C,28-35
셍,U+C14D,28-36
셔,U+C154,28-37
셕,U+C155,28-38
션,U+C158,28-39
셜,U+C15C,28-40
셤,U+C164,28-41
셥,U+C165,28-42
셧,U+C167,28-43
셨,U+C168,28-44
셩,U+C169,28-45
셰,U+C170,28-46
셴,U+C174,28-47
셸,U+C178,28-48
솅,U+C185,28-49
소,U+C18C,28-50
속,U+C18D,28-51
솎,U+C18E,28-52
손,U+C190,28-53
솔,U+C194,28-54
솖,U+C196,28-55
솜,U+C19C,28-56
솝,U+C19D,28-57
솟,U+C19F,28-58
송,U+C1A1,28-59
솥,U+C1A5,28-60
솨,U+C1A8,28-61
솩,U+C1A9,28-62
솬,U+C1AC,28-63
솰,U+C1B0,28-64
솽,U+C1BD,28-65
쇄,U+C1C4,28-66
쇈,U+C1C8,28-67
쇌,U+C1CC,28-68
쇔,U+C1D4,28-69
쇗,U+C1D7,28-70
쇘,U+C1D8,28-71
쇠,U+C1E0,28-72
쇤,U+C1E4,28-73
쇨,U+C1E8,28-74
쇰,U+C1F0,28-75
쇱,U+C1F1,28-76
쇳,U+C1F3,28-77
쇼,U+C1FC,28-78
쇽,U+C1FD,28-79
숀,U+C200,28-80
숄,U+C204,28-81
숌,U+C20C,28-82
숍,U+C20D,28-83
숏,U+C20F,28-84
숑,U+C211,28-85
수,U+C218,28-86
숙,U+C219,28-87
순,U+C21C,28-88
숟,U+C21F,28-89
술,U+C220,28-90
숨,U+C228,28-91
숩,U+C229,28-92
숫,U+C22B,28-93
숭,U+C22D,28-94
숯,U+C22F,29-01
숱,U+C231,29-02
숲,U+C232,29-03
숴,U+C234,29-04
쉈,U+C248,29-05
쉐,U+C250,29-06
쉑,U+C251,29-07
쉔,U+C254,29-08
쉘,U+C258,29-09
쉠,U+C260,29-10
쉥,U+C265,29-11
쉬,U+C26C,29-12
쉭,U+C26D,29-13
쉰,U+C270,29-14
쉴,U+C274,29-15
쉼,U+C27C,29-16
쉽,U+C27D,29-17
쉿,U+C27F,29-18
슁,U+C281,29-19
슈,U+C288,29-20
슉,U+C289,29-21
슐,U+C290,29-22
슘,U+C298,29-23
슛,U+C29B,29-24
슝,U+C29D,29-25
스,U+C2A4,29-26
슥,U+C2A5,29-27
슨,U+C2A8,29-28
슬,U+C2AC,29-29
슭,U+C2AD,29-30
슴,U+C2B4,29-31
습,U+C2B5,29-32
슷,U+C2B7,29-33
승,U+C2B9,29-34
시,U+C2DC,29-35
식,U+C2DD,29-36
신,U+C2E0,29-37
싣,U+C2E3,29-38
실,U+C2E4,29-39
싫,U+C2EB,29-40
심,U+C2EC,29-41
십,U+C2ED,29-42
싯,U+C2EF,29-43
싱,U+C2F1,29-44
싶,U+C2F6,29-45
싸,U+C2F8,29-46
싹,U+C2F9,29-47
싻,U+C2FB,29-48
싼,U+C2FC,29-49
쌀,U+C300,29-50
쌈,U+C308,29-51
쌉,U+C309,29-52
쌌,U+C30C,29-53
쌍,U+C30D,29-54
쌓,U+C313,29-55
쌔,U+C314,29-56
쌕,U+C315,29-57
쌘,U+C318,29-58
쌜,U+C31C,29-59
쌤,U+C324,29-60
쌥,U+C325,29-61
쌨,U+C328,29-62
쌩,U+C329,29-63
썅,U+C345,29-64
써,U+C368,29-65
썩,U+C369,29-66
썬,U+C36C,29-67
썰,U+C370,29-68
썲,U+C372,29-69
썸,U+C378,29-70
썹,U+C379,29-71
썼,U+C37C,29-72
썽,U+C37D,29-73
쎄,U+C384,29-74
쎈,U+C388,29-75
쎌,U+C38C,29-76
쏀,U+C3C0,29-77
쏘,U+C3D8,29-78
쏙,U+C3D9,29-79
쏜,U+C3DC,29-80
쏟,U+C3DF,29-81
쏠,U+C3E0,29-82
쏢,U+C3E2,29-83
쏨,U+C3E8,29-84
쏩,U+C3E9,29-85
쏭,U+C3ED,29-86
쏴,U+C3F4,29-87
쏵,U+C3F5,29-88
쏸,U+C3F8,29-89
쐈,U+C408,29-90
쐐,U+C410,29-91
쐤,U+C424,29-92
쐬,U+C42C,29-93
쐰,U+C430,29-94
쐴,U+C434,30-01
쐼,U+C43C,30-02
쐽,U+C43D,30-03
쑈,U+C448,30-04
쑤,U+C464,30-05
쑥,U+C465,30-06
쑨,U+C468,30-07
쑬,U+C46C,30-08
쑴,U+C474,30-09
쑵,U+C475,30-10
쑹,U+C479,30-11
쒀,U+C480,30-12
쒔,U+C494,30-13
쒜,U+C49C,30-14
쒸,U+C4B8,30-15
쒼,U+C4BC,30-16
쓩,U+C4E9,30-17
쓰,U+C4F0,30-18
쓱,U+C4F1,30-19
쓴,U+C4F4,30-20
쓸,U+C4F8,30-21
쓺,U+C4FA,30-22
쓿,U+C4FF,30-23
씀,U+C500,30-24
씁,U+C501,30-25
씌,U+C50C,30-26
씐,U+C510,30-27
씔,U+C514,30-28
씜,U+C51C,30-29
씨,U+C528,30-30
씩,U+C529,30-31
씬,U+C52C,30-32
씰,U+C530,30-33
씸,U+C538,30-34
씹,U+C539,30-35
씻,U+C53B,30-36
씽,U+C53D,30-37
아,U+C544,30-38
악,U+C545,30-39
안,U+C548,30-40
앉,U+C549,30-41
않,U+C54A,30-42
알,U+C54C,30-43
앍,U+C54D,30-44
앎,U+C54E,30-45
앓,U+C553,30-46
암,U+C554,30-47
압,U+C555,30-48
앗,U+C557,30-49
았,U+C558,30-50
앙,U+C559,30-51
앝,U+C55D,30-52
앞,U+C55E,30-53
애,U+C560,30-54
액,U+C561,30-55
앤,U+C564,30-56
앨,U+C568,30-57
앰,U+C570,30-58
앱,U+C571,30-59
앳,U+C573,30-60
앴,U+C574,30-61
앵,U+C575,30-62
야,U+C57C,30-63
약,U+C57D,30-64
얀,U+C580,30-65
얄,U+C584,30-66
얇,U+C587,30-67
얌,U+C58C,30-68
얍,U+C58D,30-69
얏,U+C58F,30-70
양,U+C591,30-71
얕,U+C595,30-72
얗,U+C597,30-73
얘,U+C598,30-74
얜,U+C59C,30-75
얠,U+C5A0,30-76
얩,U+C5A9,30-77
어,U+C5B4,30-78
억,U+C5B5,30-79
언,U+C5B8,30-80
얹,U+C5B9,30-81
얻,U+C5BB,30-82
얼,U+C5BC,30-83
얽,U+C5BD,30-84
얾,U+C5BE,30-85
엄,U+C5C4,30-86
업,U+C5C5,30-87
없,U+C5C6,30-88
엇,U+C5C7,30-89
었,U+C5C8,30-90
엉,U+C5C9,30-91
엊,U+C5CA,30-92
엌,U+C5CC,30-93
엎,U+C5CE,30-94
에,U+C5D0,31-01
엑,U+C5D1,31-02
엔,U+C5D4,31-03
엘,U+C5D8,31-04
엠,U+C5E0,31-05
엡,U+C5E1,31-06
엣,U+C5E3,31-07
엥,U+C5E5,31-08
여,U+C5EC,31-09
역,U+C5ED,31-10
엮,U+C5EE,31-11
연,U+C5F0,31-12
열,U+C5F4,31-13
엶,U+C5F6,31-14
엷,U+C5F7,31-15
염,U+C5FC,31-16
엽,U+C5FD,31-17
엾,U+C5FE,31-18
엿,U+C5FF,31-19
였,U+C600,31-20
영,U+C601,31-21
옅,U+C605,31-22
옆,U+C606,31-23
옇,U+C607,31-24
예,U+C608,31-25
옌,U+C60C,31-26
옐,U+C610,31-27
옘,U+C618,31-28
옙,U+C619,31-29
옛,U+C61B,31-30
옜,U+C61C,31-31
오,U+C624,31-32
옥,U+C625,31-33
온,U+C628,31-34
올,U+C62C,31-35
옭,U+C62D,31-36
옮,U+C62E,31-37
옰,U+C630,31-38
옳,U+C633,31-39
옴,U+C634,31-40
옵,U+C635,31-41
옷,U+C637,31-42
옹,U+C639,31-43
옻,U+C63B,31-44
와,U+C640,31-45
왁,U+C641,31-46
완,U+C644,31-47
왈,U+C648,31-48
왐,U+C650,31-49
왑,U+C651,31-50
왓,U+C653,31-51
왔,U+C654,31-52
왕,U+C655,31-53
왜,U+C65C,31-54
왝,U+C65D,31-55
왠,U+C660,31-56
왬,U+C66C,31-57
왯,U+C66F,31-58
왱,U+C671,31-59
외,U+C678,31-60
왹,U+C679,31-61
왼,U+C67C,31-62
욀,U+C680,31-63
욈,U+C688,31-64
욉,U+C689,31-65
욋,U+C68B,31-66
욍,U+C68D,31-67
요,U+C694,31-68
욕,U+C695,31-69
욘,U+C698,31-70
욜,U+C69C,31-71
욤,U+C6A4,31-72
욥,U+C6A5,31-73
욧,U+C6A7,31-74
용,U+C6A9,31-75
우,U+C6B0,31-76
욱,U+C6B1,31-77
운,U+C6B4,31-78
울,U+C6B8,31-79
욹,U+C6B9,31-80
욺,U+C6BA,31-81
움,U+C6C0,31-82
웁,U+C6C1,31-83
웃,U+C6C3,31-84
웅,U+C6C5,31-85
워,U+C6CC,31-86
웍,U+C6CD,31-87
원,U+C6D0,31-88
월,U+C6D4,31-89
웜,U+C6DC,31-90
웝,U+C6DD,31-91
웠,U+C6E0,31-92
웡,U+C6E1,31-93
웨,U+C6E8,31-94
웩,U+C6E9,32-01
웬,U+C6EC,32-02
웰,U+C6F0,32-03
웸,U+C6F8,32-04
웹,U+C6F9,32-05
웽,U+C6FD,32-06
위,U+C704,32-07
윅,U+C705,32-08
윈,U+C708,32-09
윌,U+C70C,32-10
윔,U+C714,32-11
윕,U+C715,32-12
윗,U+C717,32-13
윙,U+C719,32-14
유,U+C720,32-15
육,U+C721,32-16
윤,U+C724,32-17
율,U+C728,32-18
윰,U+C730,32-19
윱,U+C731,32-20
윳,U+C733,32-21
융,U+C735,32-22
윷,U+C737,32-23
으,U+C73C,32-24
윽,U+C73D,32-25
은,U+C740,32-26
을,U+C744,32-27
읊,U+C74A,32-28
음,U+C74C,32-29
읍,U+C74D,32-30
읏,U+C74F,32-31
응,U+C751,32-32
읒,U+C752,32-33
읓,U+C753,32-34
읔,U+C754,32-35
읕,U+C755,32-36
읖,U+C756,32-37
읗,U+C757,32-38
의,U+C758,32-39
읜,U+C75C,32-40
읠,U+C760,32-41
읨,U+C768,32-42
읫,U+C76B,32-43
이,U+C774,32-44
익,U+C775,32-45
인,U+C778,32-46
일,U+C77C,32-47
읽,U+C77D,32-48
읾,U+C77E,32-49
잃,U+C783,32-50
임,U+C784,32-51
입,U+C785,32-52
잇,U+C787,32-53
있,U+C788,32-54
잉,U+C789,32-55
잊,U+C78A,32-56
잎,U+C78E,32-57
자,U+C790,32-58
작,U+C791,32-59
잔,U+C794,32-60
잖,U+C796,32-61
잗,U+C797,32-62
잘,U+C798,32-63
잚,U+C79A,32-64
잠,U+C7A0,32-65
잡,U+C7A1,32-66
잣,U+C7A3,32-67
잤,U+C7A4,32-68
장,U+C7A5,32-69
잦,U+C7A6,32-70
재,U+C7AC,32-71
잭,U+C7AD,32-72
잰,U+C7B0,32-73
잴,U+C7B4,32-74
잼,U+C7BC,32-75
잽,U+C7BD,32-76
잿,U+C7BF,32-77
쟀,U+C7C0,32-78
쟁,U+C7C1,32-79
쟈,U+C7C8,32-80
쟉,U+C7C9,32-81
쟌,U+C7CC,32-82
쟎,U+C7CE,32-83
쟐,U+C7D0,32-84
쟘,U+C7D8,32-85
쟝,U+C7DD,32-86
쟤,U+C7E4,32-87
쟨,U+C7E8,32-88
쟬,U+C7EC,32-89
저,U+C800,32-90
적,U+C801,32-91
전,U+C804,32-92
절,U+C808,32-93
젊,U+C80A,32-94
점,U+C810,33-01
접,U+C811,33-02
젓,U+C813,33-03
정,U+C815,33-04
젖,U+C816,33-05
제,U+C81C,33-06
젝,U+C81D,33-07
젠,U+C820,33-08
젤,U+C824,33-09
젬,U+C82C,33-10
젭,U+C82D,33-11
젯,U+C82F,33-12
젱,U+C831,33-13
져,U+C838,33-14
젼,U+C83C,33-15
졀,U+C840,33-16
졈,U+C848,33-17
졉,U+C849,33-18
졌,U+C84C,33-19
졍,U+C84D,33-20
졔,U+C854,33-21
조,U+C870,33-22
족,U+C871,33-23
존,U+C874,33-24
졸,U+C878,33-25
졺,U+C87A,33-26
좀,U+C880,33-27
좁,U+C881,33-28
좃,U+C883,33-29
종,U+C885,33-30
좆,U+C886,33-31
좇,U+C887,33-32
좋,U+C88B,33-33
좌,U+C88C,33-34
좍,U+C88D,33-35
좔,U+C894,33-36
좝,U+C89D,33-37
좟,U+C89F,33-38
좡,U+C8A1,33-39
좨,U+C8A8,33-40
좼,U+C8BC,33-41
좽,U+C8BD,33-42
죄,U+C8C4,33-43
죈,U+C8C8,33-44
죌,U+C8CC,33-45
죔,U+C8D4,33-46
죕,U+C8D5,33-47
죗,U+C8D7,33-48
죙,U+C8D9,33-49
죠,U+C8E0,33-50
죡,U+C8E1,33-51
죤,U+C8E4,33-52
죵,U+C8F5,33-53
주,U+C8FC,33-54
죽,U+C8FD,33-55
준,U+C900,33-56
줄,U+C904,33-57
줅,U+C905,33-58
줆,U+C906,33-59
줌,U+C90C,33-60
줍,U+C90D,33-61
줏,U+C90F,33-62
중,U+C911,33-63
줘,U+C918,33-64
줬,U+C92C,33-65
줴,U+C934,33-66
쥐,U+C950,33-67
쥑,U+C951,33-68
쥔,U+C954,33-69
쥘,U+C958,33-70
쥠,U+C960,33-71
쥡,U+C961,33-72
쥣,U+C963,33-73
쥬,U+C96C,33-74
쥰,U+C970,33-75
쥴,U+C974,33-76
쥼,U+C97C,33-77
즈,U+C988,33-78
즉,U+C989,33-79
즌,U+C98C,33-80
즐,U+C990,33-81
즘,U+C998,33-82
즙,U+C999,33-83
즛,U+C99B,33-84
증,U+C99D,33-85
지,U+C9C0,33-86
직,U+C9C1,33-87
진,U+C9C4,33-88
짇,U+C9C7,33-89
질,U+C9C8,33-90
짊,U+C9CA,33-91
짐,U+C9D0,33-92
집,U+C9D1,33-93
짓,U+C9D3,33-94
징,U+C9D5,34-01
짖,U+C9D6,34-02
짙,U+C9D9,34-03
짚,U+C9DA,34-04
짜,U+C9DC,34-05
짝,U+C9DD,34-06
짠,U+C9E0,34-07
짢,U+C9E2,34-08
짤,U+C9E4,34-09
짧,U+C9E7,34-10
짬,U+C9EC,34-11
짭,U+C9ED,34-12
짯,U+C9EF,34-13
짰,U+C9F0,34-14
짱,U+C9F1,34-15
째,U+C9F8,34-16
짹,U+C9F9,34-17
짼,U+C9FC,34-18
쨀,U+CA00,34-19
쨈,U+CA08,34-20
쨉,U+CA09,34-21
쨋,U+CA0B,34-22
쨌,U+CA0C,34-23
쨍,U+CA0D,34-24
쨔,U+CA14,34-25
쨘,U+CA18,34-26
쨩,U+CA29,34-27
쩌,U+CA4C,34-28
쩍,U+CA4D,34-29
쩐,U+CA50,34-30
쩔,U+CA54,34-31
쩜,U+CA5C,34-32
쩝,U+CA5D,34-33
쩟,U+CA5F,34-34
쩠,U+CA60,34-35
쩡,U+CA61,34-36
쩨,U+CA68,34-37
쩽,U+CA7D,34-38
쪄,U+CA84,34-39
쪘,U+CA98,34-40
쪼,U+CABC,34-41
쪽,U+CABD,34-42
쫀,U+CAC0,34-43
쫄,U+CAC4,34-44
쫌,U+CACC,34-45
쫍,U+CACD,34-46
쫏,U+CACF,34-47
쫑,U+CAD1,34-48
쫓,U+CAD3,34-49
쫘,U+CAD8,34-50
쫙,U+CAD9,34-51
쫠,U+CAE0,34-52
쫬,U+CAEC,34-53
쫴,U+CAF4,34-54
쬈,U+CB08,34-55
쬐,U+CB10,34-56
쬔,U+CB14,34-57
쬘,U+CB18,34-58
쬠,U+CB20,34-59
쬡,U+CB21,34-60
쭁,U+CB41,34-61
쭈,U+CB48,34-62
쭉,U+CB49,34-63
쭌,U+CB4C,34-64
쭐,U+CB50,34-65
쭘,U+CB58,34-66
쭙,U+CB59,34-67
쭝,U+CB5D,34-68
쭤,U+CB64,34-69
쭸,U+CB78,34-70
쭹,U+CB79,34-71
쮜,U+CB9C,34-72
쮸,U+CBB8,34-73
쯔,U+CBD4,34-74
쯤,U+CBE4,34-75
쯧,U+CBE7,34-76
쯩,U+CBE9,34-77
찌,U+CC0C,34-78
찍,U+CC0D,34-79
찐,U+CC10,34-80
찔,U+CC14,34-81
찜,U+CC1C,34-82
찝,U+CC1D,34-83
찡,U+CC21,34-84
찢,U+CC22,34-85
찧,U+CC27,34-86
차,U+CC28,34-87
착,U+CC29,34-88
찬,U+CC2C,34-89
찮,U+CC2E,34-90
찰,U+CC30,34-91
참,U+CC38,34-92
찹,U+CC39,34-93
찻,U+CC3B,34-94
찼,U+CC3C,35-01
창,U+CC3D,35-02
찾,U+CC3E,35-03
채,U+CC44,35-04
책,U+CC45,35-05
챈,U+CC48,35-06
챌,U+CC4C,35-07
챔,U+CC54,35-08
챕,U+CC55,35-09
챗,U+CC57,35-10
챘,U+CC58,35-11
챙,U+CC59,35-12
챠,U+CC60,35-13
챤,U+CC64,35-14
챦,U+CC66,35-15
챨,U+CC68,35-16
챰,U+CC70,35-17
챵,U+CC75,35-18
처,U+CC98,35-19
척,U+CC99,35-20
천,U+CC9C,35-21
철,U+CCA0,35-22
첨,U+CCA8,35-23
첩,U+CCA9,35-24
첫,U+CCAB,35-25
첬,U+CCAC,35-26
청,U+CCAD,35-27
체,U+CCB4,35-28
첵,U+CCB5,35-29
첸,U+CCB8,35-30
첼,U+CCBC,35-31
쳄,U+CCC4,35-32
쳅,U+CCC5,35-33
쳇,U+CCC7,35-34
쳉,U+CCC9,35-35
쳐,U+CCD0,35-36
쳔,U+CCD4,35-37
쳤,U+CCE4,35-38
쳬,U+CCEC,35-39
쳰,U+CCF0,35-40
촁,U+CD01,35-41
초,U+CD08,35-42
촉,U+CD09,35-43
촌,U+CD0C,35-44
촐,U+CD10,35-45
촘,U+CD18,35-46
촙,U+CD19,35-47
촛,U+CD1B,35-48
총,U+CD1D,35-49
촤,U+CD24,35-50
촨,U+CD28,35-51
촬,U+CD2C,35-52
촹,U+CD39,35-53
최,U+CD5C,35-54
쵠,U+CD60,35-55
쵤,U+CD64,35-56
쵬,U+CD6C,35-57
쵭,U+CD6D,35-58
쵯,U+CD6F,35-59
쵱,U+CD71,35-60
쵸,U+CD78,35-61
춈,U+CD88,35-62
추,U+CD94,35-63
축,U+CD95,35-64
춘,U+CD98,35-65
출,U+CD9C,35-66
춤,U+CDA4,35-67
춥,U+CDA5,35-68
춧,U+CDA7,35-69
충,U+CDA9,35-70
춰,U+CDB0,35-71
췄,U+CDC4,35-72
췌,U+CDCC,35-73
췐,U+CDD0,35-74
취,U+CDE8,35-75
췬,U+CDEC,35-76
췰,U+CDF0,35-77
췸,U+CDF8,35-78
췹,U+CDF9,35-79
췻,U+CDFB,35-80
췽,U+CDFD,35-81
츄,U+CE04,35-82
츈,U+CE08,35-83
츌,U+CE0C,35-84
츔,U+CE14,35-85
츙,U+CE19,35-86
츠,U+CE20,35-87
측,U+CE21,35-88
츤,U+CE24,35-89
츨,U+CE28,35-90
츰,U+CE30,35-91
츱,U+CE31,35-92
츳,U+CE33,35-93
층,U+CE35,35-94
치,U+CE58,36-01
칙,U+CE59,36-02
친,U+CE5C,36-03
칟,U+CE5F,36-04
칠,U+CE60,36-05
칡,U+CE61,36-06
침,U+CE68,36-07
칩,U+CE69,36-08
칫,U+CE6B,36-09
칭,U+CE6D,36-10
카,U+CE74,36-11
칵,U+CE75,36-12
칸,U+CE78,36-13
칼,U+CE7C,36-14
캄,U+CE84,36-15
캅,U+CE85,36-16
캇,U+CE87,36-17
캉,U+CE89,36-18
캐,U+CE90,36-19
캑,U+CE91,36-20
캔,U+CE94,36-21
캘,U+CE98,36-22
캠,U+CEA0,36-23
캡,U+CEA1,36-24
캣,U+CEA3,36-25
캤,U+CEA4,36-26
캥,U+CEA5,36-27
캬,U+CEAC,36-28
캭,U+CEAD,36-29
컁,U+CEC1,36-30
커,U+CEE4,36-31
컥,U+CEE5,36-32
컨,U+CEE8,36-33
컫,U+CEEB,36-34
컬,U+CEEC,36-35
컴,U+CEF4,36-36
컵,U+CEF5,36-37
컷,U+CEF7,36-38
컸,U+CEF8,36-39
컹,U+CEF9,36-40
케,U+CF00,36-41
켁,U+CF01,36-42
켄,U+CF04,36-43
켈,U+CF08,36-44
켐,U+CF10,36-45
켑,U+CF11,36-46
켓,U+CF13,36-47
켕,U+CF15,36-48
켜,U+CF1C,36-49
켠,U+CF20,36-50
켤,U+CF24,36-51
켬,U+CF2C,36-52
켭,U+CF2D,36-53
켯,U+CF2F,36-54
켰,U+CF30,36-55
켱,U+CF31,36-56
켸,U+CF38,36-57
코,U+CF54,36-58
콕,U+CF55,36-59
콘,U+CF58,36-60
콜,U+CF5C,36-61
콤,U+CF64,36-62
콥,U+CF65,36-63
콧,U+CF67,36-64
콩,U+CF69,36-65
콰,U+CF70,36-66
콱,U+CF71,36-67
콴,U+CF74,36-68
콸,U+CF78,36-69
쾀,U+CF80,36-70
쾅,U+CF85,36-71
쾌,U+CF8C,36-72
쾡,U+CFA1,36-73
쾨,U+CFA8,36-74
쾰,U+CFB0,36-75
쿄,U+CFC4,36-76
쿠,U+CFE0,36-77
쿡,U+CFE1,36-78
쿤,U+CFE4,36-79
쿨,U+CFE8,36-80
쿰,U+CFF0,36-81
쿱,U+CFF1,36-82
쿳,U+CFF3,36-83
쿵,U+CFF5,36-84
쿼,U+CFFC,36-85
퀀,U+D000,36-86
퀄,U+D004,36-87
퀑,U+D011,36-88
퀘,U+D018,36-89
퀭,U+D02D,36-90
퀴,U+D034,36-91
퀵,U+D035,36-92
퀸,U+D038,36-93
퀼,U+D03C,36-94
큄,U+D044,37-01
큅,U+D045,37-02
큇,U+D047,37-03
큉,U+D049,37-04
큐,U+D050,37-05
큔,U+D054,37-06
큘,U+D058,37-07
큠,U+D060,37-08
크,U+D06C,37-09
큭,U+D06D,37-10
큰,U+D070,37-11
클,U+D074,37-12
큼,U+D07C,37-13
큽,U+D07D,37-14
킁,U+D081,37-15
키,U+D0A4,37-16
킥,U+D0A5,37-17
킨,U+D0A8,37-18
킬,U+D0AC,37-19
킴,U+D0B4,37-20
킵,U+D0B5,37-21
킷,U+D0B7,37-22
킹,U+D0B9,37-23
타,U+D0C0,37-24
탁,U+D0C1,37-25
탄,U+D0C4,37-26
탈,U+D0C8,37-27
탉,U+D0C9,37-28
탐,U+D0D0,37-29
탑,U+D0D1,37-30
탓,U+D0D3,37-31
탔,U+D0D4,37-32
탕,U+D0D5,37-33
태,U+D0DC,37-34
택,U+D0DD,37-35
탠,U+D0E0,37-36
탤,U+D0E4,37-37
탬,U+D0EC,37-38
탭,U+D0ED,37-39
탯,U+D0EF,37-40
탰,U+D0F0,37-41
탱,U+D0F1,37-42
탸,U+D0F8,37-43
턍,U+D10D,37-44
터,U+D130,37-45
턱,U+D131,37-46
턴,U+D134,37-47
털,U+D138,37-48
턺,U+D13A,37-49
텀,U+D140,37-50
텁,U+D141,37-51
텃,U+D143,37-52
텄,U+D144,37-53
텅,U+D145,37-54
테,U+D14C,37-55
텍,U+D14D,37-56
텐,U+D150,37-57
텔,U+D154,37-58
템,U+D15C,37-59
텝,U+D15D,37-60
텟,U+D15F,37-61
텡,U+D161,37-62
텨,U+D168,37-63
텬,U+D16C,37-64
텼,U+D17C,37-65
톄,U+D184,37-66
톈,U+D188,37-67
토,U+D1A0,37-68
톡,U+D1A1,37-69
톤,U+D1A4,37-70
톨,U+D1A8,37-71
톰,U+D1B0,37-72
톱,U+D1B1,37-73
톳,U+D1B3,37-74
통,U+D1B5,37-75
톺,U+D1BA,37-76
톼,U+D1BC,37-77
퇀,U+D1C0,37-78
퇘,U+D1D8,37-79
퇴,U+D1F4,37-80
퇸,U+D1F8,37-81
툇,U+D207,37-82
툉,U+D209,37-83
툐,U+D210,37-84
투,U+D22C,37-85
툭,U+D22D,37-86
툰,U+D230,37-87
툴,U+D234,37-88
툼,U+D23C,37-89
툽,U+D23D,37-90
툿,U+D23F,37-91
퉁,U+D241,37-92
퉈,U+D248,37-93
퉜,U+D25C,37-94
퉤,U+D264,38-01
튀,U+D280,38-02
튁,U+D281,38-03
튄,U+D284,38-04
튈,U+D288,38-05
튐,U+D290,38-06
튑,U+D291,38-07
튕,U+D295,38-08
튜,U+D29C,38-09
튠,U+D2A0,38-10
튤,U+D2A4,38-11
튬,U+D2AC,38-12
튱,U+D2B1,38-13
트,U+D2B8,38-14
특,U+D2B9,38-15
튼,U+D2BC,38-16
튿,U+D2BF,38-17
틀,U+D2C0,38-18
틂,U+D2C2,38-19
틈,U+D2C8,38-20
틉,U+D2C9,38-21
틋,U+D2CB,38-22
틔,U+D2D4,38-23
틘,U+D2D8,38-24
틜,U+D2DC,38-25
틤,U+D2E4,38-26
틥,U+D2E5,38-27
티,U+D2F0,38-28
틱,U+D2F1,38-29
틴,U+D2F4,38-30
틸,U+D2F8,38-31
팀,U+D300,38-32
팁,U+D301,38-33
팃,U+D303,38-34
팅,U+D305,38-35
파,U+D30C,38-36
팍,U+D30D,38-37
팎,U+D30E,38-38
판,U+D310,38-39
팔,U+D314,38-40
팖,U+D316,38-41
